epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.881,1.60162,1.48501,2.19377,0.69944,0.61104,0.62878,0.46886,2.38511,2.77219,2.80734,0.000302566,0.000302566,0.000302566
2,294.926,1.74798,1.70292,2.27236,0.6907,0.59077,0.60641,0.45197,2.41011,2.78089,2.80814,0.000593576,0.000593576,0.000593576
3,441.267,1.86098,1.86413,2.33636,0.64203,0.58456,0.57901,0.42845,2.48972,2.86415,2.8357,0.000872587,0.000872587,0.000872587
4,587.711,1.91703,1.98381,2.37498,0.67432,0.58068,0.5978,0.4317,2.49012,2.72958,2.83032,0.000855005,0.000855005,0.000855005
5,734.656,1.93142,1.99526,2.39152,0.63358,0.58778,0.58099,0.42951,2.4928,2.86368,2.81615,0.000837007,0.000837007,0.000837007
6,881.723,1.92651,1.9901,2.39451,0.6476,0.59643,0.58952,0.43698,2.43992,2.79496,2.80569,0.000819009,0.000819009,0.000819009
7,1028.45,1.94374,1.95636,2.40276,0.65244,0.59256,0.5966,0.43775,2.45681,2.75954,2.81356,0.000801011,0.000801011,0.000801011
8,1174.85,1.90008,1.95171,2.36513,0.67465,0.58044,0.60969,0.44708,2.38729,2.73262,2.7567,0.000783013,0.000783013,0.000783013
9,1321.19,1.87624,1.9168,2.36303,0.66243,0.5944,0.6065,0.44569,2.45829,2.77631,2.79789,0.000765014,0.000765014,0.000765014
10,1461.51,1.89371,1.90374,2.36168,0.66098,0.59875,0.608,0.44617,2.46077,2.69828,2.79844,0.000747016,0.000747016,0.000747016
11,1601.94,1.88054,1.89431,2.36643,0.66071,0.61148,0.61095,0.45031,2.38934,2.70078,2.75596,0.000729018,0.000729018,0.000729018
12,1750.94,1.8647,1.86366,2.34782,0.68087,0.60675,0.62047,0.45916,2.39999,2.63408,2.76117,0.00071102,0.00071102,0.00071102
13,1897.64,1.8374,1.83962,2.32907,0.65892,0.59738,0.58712,0.44042,2.38773,2.77981,2.75762,0.000693022,0.000693022,0.000693022
14,2044.34,1.82601,1.81546,2.32429,0.67988,0.59086,0.61129,0.45337,2.37667,2.68775,2.75149,0.000675023,0.000675023,0.000675023
15,2190.7,1.82798,1.8215,2.32509,0.66439,0.58785,0.60827,0.44891,2.43018,2.78456,2.78861,0.000657025,0.000657025,0.000657025
16,2337,1.80879,1.77843,2.32255,0.66212,0.59705,0.59883,0.44919,2.40227,2.75815,2.78174,0.000639027,0.000639027,0.000639027
17,2482.61,1.82152,1.80314,2.32292,0.70803,0.60353,0.62434,0.45713,2.38077,2.71024,2.76302,0.000621029,0.000621029,0.000621029
18,2626.98,1.79744,1.73386,2.30541,0.68029,0.58924,0.60594,0.45212,2.42503,2.75775,2.77981,0.000603031,0.000603031,0.000603031
19,2771.69,1.78164,1.72568,2.29874,0.68458,0.61241,0.6147,0.45164,2.40735,2.67515,2.77174,0.000585032,0.000585032,0.000585032
20,2916.4,1.77288,1.73245,2.30314,0.7169,0.56817,0.60766,0.45458,2.38771,2.72659,2.78447,0.000567034,0.000567034,0.000567034
21,3061.16,1.76644,1.70865,2.2892,0.68415,0.59491,0.61176,0.4543,2.38912,2.75377,2.77042,0.000549036,0.000549036,0.000549036
